ma>,4
wə:,4
hei,4
priks,4
y,4
ha:,4
aksi,4
pju,4
hef,4
du,4
o:,4
bats,4
dypə,4
hauw,4
sinə,4
tepə,4
i:kə,4
fakjə,4
tem,4
ku,4
bo:t,4
hi:jaf,4
enə,4
sein,4
nau,4
wa:s,4
xit,4
tik,4
tit,4
kik,4
k>,4
tat,4
titə,4
tax,4
ki:ə,4
ʔo,4
ajs,4
t>,4
təf,4
iʔ,4
titi,4
kis,3
vo,3
Au,3
dag,3
neer,3
tata,3
oet,3
ote,3
see,3
oj,3
ch,3
aarrrr,3
top,3
tuut,3
sjj,3
janke,3
sta,3
psss,3
ra,3
eit,3
etə,3
a:t,3
he:,3
kle,3
oe:,3
prrr,3
wa>,3
matə,3
ba:mə,3
ax,3
ix,3
hejə,3
da:,3
ne:,3
i>,3
et,3
sp,3
dədə,3
pliks,3
pu,3
xakər,3
han,3
wa:,3
maj,3
up,3
jet,3
kr,3
wi,3
ssss,3
kaj,3
hap,3
ja:n,3
tut,3
oe,3
nu,3
penə,3
kukə,3
tintə,3
teis,3
byw,3
ewə,3
tein,3
hajə,3
neə,3
piə,3
heijə,3
pakjə,3
pas,3
temə,3
tapi,3
keinon,3
tekəj,3
boməjan,3
bo:tjə,3
sa:,3
xo:,3
kansi,3
kabəs,3
ta:kən,3
tekə,3
kefe,3
sitə,3
yyy,3
ki:tjə,3
xa:sjə,3
lesət,3
xi:n,3
ta:t,3
si:nə,3
nusj,3
paxəytjəs,3
sanki,3
xaəytjə,3
da>,3
wa:sə,3
xa,3
sx,3
ʔei,3
tisk,3
tih,3
aj,3
jubə,3
hic,3
n:a,3
n>,3
ʔa,3
c,3
hupəhup,3
ʔm:,3
b>,3
ʔi,3
tatəsa:x,3
xa>,3
tət,3
tʔi,3
c:,3
din,3
tet,3
tətət,3
brm,3
tatcə,3
toytomtətejə,3
E,3
taufə,3
An,3
jaawjaaw,2
adaa,2
baba,2
maa,2
asut,2
tststs,2
X,2
beba,2
bul,2
halohalolo,2
tetisda,2
boks,2
len,2
ol,2
miki,2
zot,2
vaxt,2
ste,2
tuuuu>,2
dum,2
om,2
pang,2
weh,2
teh,2
butchy,2
ge,2
klingeling,2
kling,2
sje,2
tie,2
ieke,2
ike,2
kajs,2
sis,2
gaa,2
wah,2
gg,2
ooch,2
sus,2
eepijm,2
tou,2
pop,2
kgg,2
tse,2
sik,2
paa,2
huuu,2
mmmm,2
bu,2
be>,2
pss,2
pgg,2
ham,2
tee,2
ei>,2
furer,2
eda,2
sss,2
tjieptjieptjiep,2
beesiemo,2
io:,2
re,2
pffff,2
ofs,2
eheheh,2
pok,2
bah,2
gggg,2
aaaaaa,2
ta:,2
ditə,2
pla,2
letə,2
z:>,2
ot,2
və,2
lin,2
ti:,2
mi:,2
tzzz,2
i:ə,2
sisisisi,2
tusə,2
ka>,2
slinə,2
fli:xə,2
sijə,2
tun,2
mafinos,2
d>,2
wau,2
fu,2
bo:,2
efəwatsises,2
m:na,2
kl>,2
səsə,2
hənənə,2
se>,2
l>,2
efə,2
sxə,2
nejə,2
jaj,2
xr,2
lax,2
petə,2
fup,2
kak,2
ho>,2
ikəs,2
də:,2
i:n,2
as,2
xi:,2
kuk,2
im,2
xəw,2
hau,2
konə,2
hlo,2
dro,2
bliks,2
ei:,2
eiy,2
r:,2
lo,2
xlancə,2
bakə,2
piju,2
wd,2
芭,2
dərynə,2
amə,2
cə,2
ninə,2
pis,2
xi,2
wie,2
o>,2
slak,2
itə,2
kof,2
sssj,2
həhəhə:,2
imər,2
tra:k,2
xxxx,2
ont,2
tintjə,2
y:,2
heiə,2
atə,2
dinkə,2
ki:,2
ty:,2
tywə,2
dukə,2
dim,2
py:,2
ta:n,2
ka:,2
tejə,2
haj,2
teikeis,2
teikeisə,2
teisə,2
opta:n,2
sapə,2
sokə,2
i:k,2
tikjə,2
tekətein,2
bema,2
lek,2
kafə,2
kasə,2
ikə,2
di:,2
ra:mtjə,2
hep,2
xitə,2
kext,2
mapə,2
kikəs,2
xo:t,2
danau,2
sepə,2
tek>,2
watei,2
bot,2
memən,2
bo:təjam,2
bon,2
keikət,2
xrofə,2
ba:t,2
ki:sjəky,2
bo:tə,2
ko>,2
minikupi,2
ke:ven,2
texə,2
rrrrrrr,2
muwək,2
tefisi:,2
bokə,2
haf,2
hijaf,2
xo,2
hebul,2
xas,2
sjokoladəkuki,2
st>,2
herə,2
fes,2
vixətjə,2
si>,2
fediki,2
kexə,2
tupə,2
dintjəs,2
du>,2
fa:kjə,2
nənə,2
di:sə,2
dibətjəs,2
wontə,2
wondə,2
dantsi,2
papəkukə,2
tenkət,2
kukihuki,2
juki,2
fa:k,2
jejet,2
kodø:,2
nantjə,2
liasbet,2
kau,2
e:f,2
felf,2
eix,2
fosixjə,2
ho:n,2
ho:ns,2
fəy,2
dam,2
sjon,2
ti:s,2
həy,2
santədo:sjə,2
xəb,2
stə,2
blu,2
bo>,2
səs,2
tic,2
tej,2
ta:s,2
dik,2
nəs,2
jis,2
i:s,2
əhə:,2
əsə,2
əhə,2
aai,2
to:r,2
əhi,2
tejs,2
tjuktjuktjuk,2
ejs,2
əy,2
emə,2
hu:,2
ək,2
uə,2
tuk,2
təh,2
ʔis,2
tisə,2
oʔ,2
hə:hə:,2
ʔej,2
əm:,2
kra,2
kei:,2
njum:,2
tah:,2
trap,2
even,2
za,2
hopə,2
əs:,2
seiy,2
pət,2
brr:,2
hamə,2
ni>,2
əwe,2
tif,2
aaaa,2
z>,2
tap,2
ʔn:,2
kə:,2
aut,2
əfə,2
heis,2
max,2
tux,2
dra,2
əm,2
hec,2
tja,2
bom,2
h:,2
hin:,2
əc,2
ky:,2
c:w:t,2
f:c:w:,2
cjə,2
ci,2
əti,2
tjei,2
tətətə,2
c>,2
kx:,2
ətətə,2
mtə,2
kəbau,2
tintcə,2
rei,2
tutcə,2
hoehoehoe,2
trak,2
hihihihi,2
au>,2
nautir,2
nohogimer,2
toytomtətelə,2
tomə,2
twi,2
Om,2
tamə,2
tauwəf,2
um:,2
un:,2
mn:,2
R:,2
Al,2
mf,2
pepepe:,2
tro,2
trom,2
papap,2
e>[/],2
wawawa,2
